Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2024-05-01,Bihar,onionbig,Onion Big,27,31 - 34,32 - 45,1kg,resource/images/vegetables/onionbig-64.png
2024-05-01,Bihar,onionsmall,Onion Small,36,41 - 46,43 - 59,1kg,resource/images/vegetables/onionsmall-64.png
2024-05-01,Bihar,tomato,Tomato,24,28 - 30,29 - 40,1kg,resource/images/vegetables/tomato-64.png
2024-05-01,Bihar,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
2024-05-01,Bihar,beetroot,Beetroot,40,46 - 51,48 - 66,1kg,resource/images/vegetables/beetroot-64.png
2024-05-01,Bihar,potato,Potato,27,31 - 34,32 - 45,1kg,resource/images/vegetables/potato-64.png
2024-05-01,Bihar,plantain,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,resource/images/vegetables/plantain-64.png
2024-05-01,Bihar,amaranthleaves,Amaranth Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/amaranthleaves-64.png
2024-05-01,Bihar,amla,Amla,70,81 - 89,84 - 116,1kg,resource/images/vegetables/amla-64.png
2024-05-01,Bihar,ashgourd,Ash gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ashgourd-64.png
2024-05-01,Bihar,babycorn,Baby Corn,61,70 - 77,73 - 101,1kg,resource/images/vegetables/babycorn-64.png
2024-05-01,Bihar,bananaflower,Banana Flower,14,16 - 18,17 - 23,1kg,resource/images/vegetables/bananaflower-64.png
2024-05-01,Bihar,capsicum,Capsicum,45,52 - 57,54 - 74,1kg,resource/images/vegetables/capsicum-64.png
2024-05-01,Bihar,bittergourd,Bitter Gourd,33,38 - 42,40 - 54,1kg,resource/images/vegetables/bittergourd-64.png
2024-05-01,Bihar,bottlegourd,Bottle Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/bottlegourd-64.png
2024-05-01,Bihar,butterbeans,Butter Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/butterbeans-64.png
2024-05-01,Bihar,broadbeans,Broad Beans,26,30 - 33,31 - 43,1kg,resource/images/vegetables/broadbeans-64.png
2024-05-01,Bihar,cabbage,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
2024-05-01,Bihar,carrot,Carrot,46,53 - 58,55 - 76,1kg,resource/images/vegetables/carrot-64.png
